Symbol,Name,Article,Time,Body,Tokenize,Label
MIRN,"Mirna Therapeutics, Inc.",,,,,
KMI^A,KMI^A,,,,,
FOXA,"Twenty-First Century Fox, Inc.","3:Early movers: WEN, TIME, ALXN, AVP, GNC, TPX & more","Thursday, 16 Feb 2017 |  8:04  AM ET","Check out which companies are making headlines before the bell:  Wendy's — The restaurant chain reported adjusted quarterly profit of 8 cents per share, 1 cent shy of estimates. Revenue, however, beat forecasts, and comparable-store sales also increased more than expected. Wendy's announced a new $150 million stock buyback, as well, and raised its quarterly dividend to 7 cents per share from 6.5 cents. Time Inc. — The magazine publisher fell 3 cents a share short of estimates, with quarterly profit of 75 cents per share. Revenue missed expectations, as well. The company was hurt by a decline in ad sales, although digital ad revenue did increase substantially. Alexion Pharmaceuticals — The drugmaker earned an adjusted $1.26 per share for its latest quarter, a penny a share above estimates. Revenue fell short of Street forecasts, however, and the company gave a lower-than-expected 2017 earnings outlook as sales of its flagship blood disorder drug Soliris fall. Avon Products — The cosmetics maker fell 8 cents a share short of estimates, with adjusted quarterly profit of 1 cent per share. Revenue also missed estimates, as sales were lower in most of its global markets. GNC Holdings — The nutritional supplements retailer earned an adjusted 7 cents per share for its latest quarter, well short of the 36 cent a share consensus estimate. Revenue also missed, and GNC announced it was suspending its quarterly dividend. The company noted, however, that its results do not yet reflect the recent overhaul of its business model. Tempur Sealy — The mattress retailer came in 5 cents a share above estimates, with adjusted quarterly profit of $1.18 per share. Revenue also topped Street forecasts. The company said worldwide demand for its products is ""solid."" Cisco Systems — The networking equipment maker reported adjusted quarterly profit of 57 cents per share, 1 cent a share above estimates. Revenue was essentially in line with forecasts. Cisco's results got a boost from strong sales of its security-related offerings. CBS — CBS came in a penny a share above estimates, with adjusted quarterly profit of $1.11 per share. Ad revenue dropped nearly 3 percent as the network broadcast fewer NFL games, though the number was aided by political spending. TripAdvisor — TripAdvisor fell 15 cents a share shy of estimates, with adjusted quarterly profit of 16 cents per share. The travel review website operator also saw revenue fall short of Street forecasts. TripAdvisor reported a drop in both subscription revenue and in display ad spending. Applied Materials — Applied Materials posted adjusted quarterly profit of 67 cents per share, 1 cent a share above estimates. The maker of semiconductor manufacturing equipment's revenue was in line with forecasts. The company also made upbeat comments about the year ahead. Kraft Heinz — Kraft Heinz beat analyst estimates by 3 cents a share, with adjusted quarterly profit of 91 cents per share. The food maker's revenue beat forecasts, as well. The producer of Heinz Ketchup and Oscar Mayer meats saw its bottom line benefit by lower input costs, among other factors. Marriott — Marriott reported adjusted quarterly profit of 85 cents per share, 1 cent a share above estimates. The hotel operator's revenue also came in above forecasts. Revenue per available room was in line with estimates, as is Marriott's current-quarter guidance. NetApp — NetApp came in 8 cents a share above estimates, with adjusted quarterly profit of 82 cents per share. Revenue was in line with forecasts. The data storage company gave strong current-quarter guidance, as well. Molina Healthcare — Molina lost $1.54 per share for its latest quarter, compared to consensus estimates of a 75 cents per share of profit. The health insurer also saw revenue miss forecasts, as did its full-year 2017 outlook. Molina, which focuses on the Medicaid market, blamed challenges stemming from the Affordable Care Act. McDonald's — The restaurant chain is the target of a complaint by a Chinese consultancy, which says the company's sale of its China-based business may hurt workers and consumers. The complaint comes from Hejun Vanguard Group, which was instrumental in winning antitrust disputes with both Coca-Cola and Apple. Boeing — Boeing workers in South Carolina voted against union representation by the International Association of Machinists and Aerospace Workers. Nearly three-quarters of workers voted against having the IAM represent them. 21st Century Fox — Fox is reportedly the target of a federal probe. The Wall Street Journal reports investigators are looking at whether the media company did not make sufficient disclosures to investors regarding the settlements of sexual harassment claims against former Fox News CEO Roger Ailes.","[share, cent, shy, estimate, Revenue, beat, forecast, comparable, store, increased, expected, Wendy, announced, buyback, raised, dividend, cent, share, cent, Time, Inc, The, magazine, publisher, cent, share, estimate, profit, cent, share, Revenue, missed, expectation, The, company, decline, ad, digital, ad, revenue, Apple, Boeing, Boeing, worker, South, Carolina, voted, union, representation, International, Association, Machinists, Aerospace, Workers, Nearly, quarter, worker, voted, IAM, represent, st, Century, Fox, Fox, reportedly, target, federal, probe, The, Wall, Street, Journal, report, investigator, looking, medium, company, make, sufficient, disclosure, Boeing, Boeing, worker, South, Carolina, voted, union, representation, International, Association, Machinists, Aerospace, Workers, Nearly, quarter, worker, voted, IAM, represent, st, ...]",0.0
HLF,Herbalife LTD.,,,,,
ARNC,Arconic Inc.,,,,,
AGM^C,AGM^C,,,,,
AET,Aetna Inc.,11:Health insurer Aetna's quarterly profit beats,"Tuesday, 31 Jan 2017 | 12:33  PM ET","Aetna, whose $34 billion deal for Humana was blocked last week, reported quarterly profit ahead of estimates on Tuesday, helped by higher premiums for its insurance plans and lower-than-expected medical costs. Aetna's results come nearly two weeks after Republican President Donald Trump signed his first executive order, directing the federal government to scale back regulations, taxes and penalties under the Affordable Care Act, popularly known as Obamacare. Insurers, including UnitedHealth and Aetna, largely pulled out of these plans for 2017, saying they were losing too much money.  Aetna's net profit fell to $139 million, or 39 cents per share, in the fourth quarter ended Dec. 31, from $321 million, or 91 cents per share, a year earlier. Excluding items, Aetna earned $1.63 per share, handily beating analysts' average estimate of $1.44 per share, according to Thomson Reuters I/B/E/S. Aetna said its total health care medical benefit ratio — the percent of premiums spent on claims — rose to 82.1 percent from 81.9 percent, a year earlier, mainly due to higher medical costs in its individual commercial products. The No. 3 U.S. health insurer's total revenue rose about 5 percent to $15.73 billion but was below analysts' average estimate of $15.86 billion. Total medical membership came in at 23.1 million at the end of December, lower than 23.49 million, a year earlier. The company said it expects 2017 operating earnings of at least $8.55 per share. Analysts' on average estimated earnings of $8.79 per share. The decrease in quarterly net income was primarily due to an increase in restructuring costs, which included a $215 million expense recorded during the quarter related to a voluntary early retirement program. Restructuring costs and exchange medical loss ratio pressured the quarter but was offset by performance in the government and group insurance businesses, Piper Jaffray analyst Sarah James said. Aetna and Humana have said they will consider all available options for their proposed merger after a court ruled against the deal, saying it would lower competition. ""We believe this combination will provide a better product for seniors, a better product for the Medicaid population [that is] more affordable and simpler,"" Aetna chairman and CEO Mark Bertolini told CNBC's ""Squawk Alley"" on Tuesday. ""We're disappointed where we are now, but until Feb. 15 we really don't need to make a call and we're doing all of the homework necessary now to understand what our next steps could be,"" he said, referring to the merger agreement's extended deadline. The court ruling also casts doubt on Anthem's proposed $54 billion deal to buy fellow health insurer Cigna. The Justice Department filed a lawsuit last July to block the two deals, arguing they would lead to higher prices. A court ruling on the Anthem-Cigna deal is pending.","[Aetna, Humana, blocked, reported, profit, ahead, estimate, Tuesday, helped, higher, premium, insurance, plan, expected, medical, cost, Aetna, result, come, nearly, Aetna, Humana, blocked, reported, profit, ahead, estimate, Tuesday, helped, higher, premium, insurance, plan, expected, medical, cost, Aetna, result, come, nearly, Republican, President, Donald, Trump, signed, executive, order, directing, federal, government, scale, regulation, tax, penalty, Affordable, Care, Trump, signed, executive, order, directing, federal, government, scale, regulation, tax, penalty, Affordable, Care, Act, popularly, known, Obamacare, Insurers, including, UnitedHealth, Aetna, largely, pulled, plan, saying, losing, Aetna, net, profit, cent, share, ended, Dec, cent, share, earlier, Excluding, item, Aetna, earned, government, scale, regulation, tax, ...]",1.0
JW.B,JW.B,,,,,
PZZA,"Papa John's International, Inc.",1:Cramer Remix: This side of Wall Street thinks Trump is dangerous,"Monday,  6 Mar 2017 |  7:06  PM ET","Jim Cramer knows that stocks have had a big run, and some of them could fall. But when he spent the weekend looking over the charts, he found 10 groups flying high that indicated that the market could have more room to run. ""I believe these big money managers are cynical haters, not skeptical tire kickers. They aren't wary buyers. They are unwary sellers. They despise the setup and find themselves wanting to sell everything at a moment's notice,"" the ""Mad Money"" host said. In fact, Cramer likes how disappointed so many money managers are. He believes that many hedge fund managers are traditional Republicans by nature and can't figure out President Trump, and therefore think he is dangerous. But Cramer doesn't view the stock market through the lens of the White House. The global economy has gotten better, and that is what matters to him. Almost every market he follows is up, and none of these countries have Trump at the helm. They simply have better business conditions. With low interest rates, it was bound to happen. Cramer reminded investors that when they see a stock with an absurdly high yield, they need to stay the heck away from it. ""I don't care how tempting the dividend looks or how cheap the stock seems. A super-high yield that is totally out of whack with its peers is almost always a sign that something is very, very wrong and you need to run, not walk away as fast as you can,"" he said. Cramer also hears questions about how much investors should pay for stocks. It has become a serious dilemma, and the banks are in the center of it all. It was just a year ago that Wall Street valued bank stocks from their book value, especially ones impacted the most by regulation. Book value refers to what a stock would be worth if the company liquidated the business tomorrow. A good example of this was Bank of America's valuation. Last year at this time, the stock traded between $13 and $14 a share, and management argued that it deserved to be valued by its book value of around $15. Before the election, with Hillary Clinton in the lead, Bank of America flirted with a new $16 book value. But then the surprise election results changed everything, and the stock flew to $20. The stock closed at $25 on Monday, and Cramer said to let the position ride. ""Until everyone understands the new normal where, after a decade, we can at last value Bank of American on its earnings, then I think this one's got more room to run,"" Cramer said. Sometimes a company has several different businesses under one roof, creating a situation where the sum of the parts is actually worth more than the whole. When that happens, spinning off one of the divisions as an independent company can make a killing for shareholders. Manitowoc Foodservice, maker of kitchen equipment for the restaurant industry, rebranded itself as Welbilt, officially trading under the symbol WBT on Monday. Cramer spoke with Welbilt's CEO Hubertus Muehlhaeuser, who explained the reason for the name change. ""I think it was a 'Back to the Future' strategy. We wanted to cut off the last tie to the Manitowoc company, and Welbilt was actually the leader in our industry in the last century … It resembles what we are. We are in the heart of the kitchen, and Welbilt is in the heart of the kitchen, so it was natural,"" Muehlhaeuser said. Cramer was very worried about the pizza space going into Domino's Pizza's earnings last week, as weakness from Yum Brands' Pizza Hut and Papa John's indicated that there was a price war heating up. That was all proved wrong when Domino's earnings knocked it out of the park, including a 12 percent increase in domestic same-store sales. On Monday, he spoke with Domino's CEO Patrick Doyle who said the investments that the company has made in its stores, food and technology during the past few years are now paying off both internationally and domestically. ""We view ourselves as a work-in-progress brand,"" Doyle said. ""We continue to find places that we can improve the experience for the customer and as long as we are making investments that do that, that can permanently improve the experience for our customers and we think we are going to continue to grow."" In the Lightning Round, Cramer gave his opinion on a few caller stocks: AT&amp;T: ""I would be a buyer, 4.67 percent yield with a good business strategy. I think it makes sense to be a buyer of AT&amp;T."" Cabela's: ""I thought they were going to go the way of being taken over. I don't want anything in retail. Literally, nothing. I mean, nothing.""","[Jim, Cramer, know, big, run, fall, But, spent, weekend, looking, chart, found, group, flying, indicated, market, room, run, I, believe, big, manager, cynical, hater, skeptical, tire, kicker, They, wary, buyer, They, unwary, They, despise, setup, find, wanting, moment, hater, skeptical, tire, kicker, They, wary, buyer, They, unwary, They, despise, setup, find, wanting, moment, notice, Mad, Money, host, said, In, fact, Cramer, like, disappointed, manager, He, belief, fund, manager, traditional, Republicans, nature, figure, President, Trump, think, dangerous, But, Cramer, country, Trump, They, simply, better, business, condition, With, interest, rate, bound, happen, Cramer, reminded, investor, absurdly, yield, need, stay, away, I, care, ...]",0.0
ABT,Abbott Laboratories,3:None,None,[],,
OMER,Omeros Corporation,,,,,
MP^D,MP^D,,,,,
UFI,"Unifi, Inc.",,,,,
ACV,AllianzGI Diversified Income & Convertible Fund,,,,,
TIF,Tiffany & Co.,3:None,None,[],,
MBLY,Mobileye N.V.,,,,,
KBR,"KBR, Inc.",1:Cramer's lightning round: The stock 'kicking butt' in cybersecurity,"Wednesday,  1 Mar 2017 |  7:13  PM ET"," It's that time again! Jim Cramer rang the lightning round bell, which means he gave his take on caller favorite stocks at rapid speed: Opko Health: ""Phil Frost [CEO] has a standing invitation ... let's just say that he needs to come on because I'm starting to think that that latest acquisition really was a buzzkill."" FireEye: ""No we are not going with FireEye, we are not going with Palo Alto. Remember, when we had Chuck Robbins from Cisco on, he made it very clear that the one we are going to like in that area is Cisco and not any others. Cisco is kicking butt."" KBR: ""I like the infrastructure stocks. It wasn't that good a quarter. I'm going to say it's OK. It's not a bad company. It's got a lot of cash."" Toro: ""Toro is a very reliable brand, and you know what, sometimes that is enough. But we are going to do a number on that one. We have to do more work, I can't just tell you it's a reliable brand. Let me come back on that one."" Questions for Cramer?  Call Cramer: 1-800-743-CNBC Want to take a deep dive into Cramer's world? Hit him up! Mad Money Twitter -  Jim Cramer Twitter - Facebook - Instagram - Vine Questions, comments, suggestions for the ""Mad Money"" website? madcap@cnbc.com","[Cramer, rang, lightning, round, gave, take, caller, favorite, rapid, Opko, Health, Phil, Frost, CEO, standing, invitation, let, say, need, come, I, starting, think, latest, acquisition, really, buzzkill, FireEye, No, going, FireEye, going, Palo, Alto, Remember, Chuck, Robbins, Cisco, made, clear, buzzkill, FireEye, No, going, FireEye, going, Palo, Alto, Remember, Chuck, Robbins, Cisco, made, clear, going, like, area, Cisco, Cisco, kicking, KBR, I, like, infrastructure, It, I, going, say, OK, It, bad, company, It, got, lot, Toro, Toro, reliable, know, But, FireEye, No, going, FireEye, going, Palo, Alto, Remember, Chuck, Robbins, Cisco, made, clear, going, like, area, Cisco, Cisco, kicking, KBR, ...]",0.0
EDGW,"Edgewater Technology, Inc.",,,,,
DFIN,"Donnelley Financial Solutions, Inc.",,,,,
TNDM,"Tandem Diabetes Care, Inc.",,,,,
JNJ,Johnson & Johnson,"4:Johnson & Johnson lifts lid on drug pricing data, shows 3.5% net hike in 2016","Monday, 27 Feb 2017 | 11:00  AM ET","Johnson &amp; Johnson, the world's largest health-care company, issued a new report Monday detailing data on its medicines' price increases. The message: We've been responsible, but the public hasn't been able to tell because of lack of transparency. The report, which J&amp;J says it plans to issue annually, comes as the pharmaceutical industry has once again become a national target for its pricing practices. And the message, that there's more to pricing than meets the eye, has been the industry's primary response — a response most visibly employed by Mylan Chief Executive Heather Bresch amid controversy over pricing of the EpiPen. ""We understand the concerns of patients, families and other stakeholders who are worried about health care costs, including the costs of prescription medicines,"" wrote Jennifer Taubert, J&amp;J's company group chairman for pharmaceuticals in the Americas, and Anastasia Daifotis, chief scientific officer for J&amp;J's Janssen North America pharmaceuticals unit, in the report. ""They are calling on us to provide greater transparency about how we operate — including disclosing more information on our pricing and marketing practices, our patient access programs and our clinical trials."" The report focuses specifically on the U.S., where the 2016 presidential election included drug pricing as a key issue. President Donald Trump has continued his focus on drug prices since, saying the industry is ""getting away with murder"" for its pricing practices and vowing to bring pricing down. The industry has argued it's being unfairly maligned in the pricing debate, that there's more to the price of medicines than the list prices that are made public. And in response to pressure, many are providing more data on the discounts and rebates they pay into the health-care system, to government insurers and middlemen including pharmacy benefits managers. J&amp;J's report does just that, explaining the difference between list and net prices and the complicated path of drug payments through the reimbursement system. And it says over the last five years, its list prices have increased, on average, less than 10 percent, while its net prices, after discounts and rebates, have generally increased less than 5 percent. In 2016, J&amp;J says discounts and rebates on its medicines amounted to about $11 billion in the U.S., or a discount rate of 35 percent off the list price. And it says the net increase in the cost of its medicines, of 3.5 percent across its portfolio, is lower than the 4.1 percent rate of medical inflation in the U.S. last year. Other drug companies have made pledges to limit list price increases. Allergan CEO Brent Saunders pledged, in what he called the company's social contract, to limit increases to less than 10 percent once a year. Novo Nordisk and AbbVie made similar commitments. J&amp;J's data show it's generally already been doing that. But Americans feel drug prices are a problem. Seventy-seven percent said prescription drug costs were unreasonable in a Kaiser Health poll in September 2016, at the height of the backlash over the price of the EpiPen, which rose fourfold in a decade. And many Americans support actions to keep costs down, the poll found, including allowing the federal government to negotiate with drug companies to lower prices for Medicare. J&amp;J focuses on that issue specifically in its report, arguing that the private insurers and PBMs that collectively administer Medicare Part D benefits already are ""powerful negotiators with leverage to secure large discounts and rebates on behalf of Part D plans."" But Trump has supported Medicare negotiation as well. And with each one-off drug pricing scandal — from Martin Shkreli to the EpiPen to, most recently, a drug for kids with Duchenne muscular dystrophy — the scrutiny on the whole industry's pricing practices is reignited.","[Johnson, amp, Johnson, world, largest, health, care, company, issued, report, Monday, detailing, data, medicine, increase, The, message, We, responsible, public, Johnson, amp, Johnson, world, largest, health, care, company, issued, report, Monday, detailing, data, medicine, increase, The, message, We, responsible, public, able, tell, care, company, issued, report, Monday, detailing, data, medicine, increase, The, message, We, responsible, public, able, tell, lack, transparency, The, report, J, amp, J, say, plan, issue, come, pharmaceutical, industry, national, target, pricing, practice, And, message, pricing, meet, eye, industry, primary, issued, report, Monday, detailing, data, medicine, increase, The, message, We, responsible, public, able, tell, lack, transparency, The, report, ...]",1.0
STT,State Street Corporation,3:State Street shares drop after BlackRock agrees to remove $1 trillion in assets from bank's custody,"Wednesday, 25 Jan 2017 |  1:40  PM ET","  Shares of State Street fell more than 4 percent following reports that asset manager BlackRock was taking $1 trillion out of the bank's custody and putting it in the care of JPMorgan.    BlackRock confirmed the news early Wednesday. Shares of JPMorgan rose 1 percent as the broader market rallied and the Dow Jones industrial average topped the 20,000 milestone for the first time.     A State Street spokeswoman told CNBC that the firm will still retain custody over some of BlackRock's assets.     ""We remain a significant service provider for BlackRock, and the transition will not be fully completed until 2018,"" she said. ""As I'm sure you've seen from our earnings announcement, we continue to see strong client demand for our services with new asset servicing wins of approximately $1.4 trillion for 2016.""   On Wednesday, State Street reported fourth-quarter earnings that beat analysts' expectations, although its revenue missed. Its sales of $2.53 billion marked a 0.31 percent decline from the year-ago period.    As of yesterday's close, State Street shares are down 1.6 percent for January. ","[Shares, State, Street, percent, following, report, asset, manager, BlackRock, taking, bank, custody, putting, care, JPMorgan, BlackRock, confirmed, news, Wednesday, Shares, JPMorgan, Shares, State, Street, percent, following, report, asset, manager, BlackRock, taking, bank, custody, putting, care, JPMorgan, BlackRock, confirmed, news, Wednesday, Shares, JPMorgan, percent, care, JPMorgan, BlackRock, confirmed, news, Wednesday, Shares, JPMorgan, percent, broader, market, rallied, Dow, Jones, industrial, average, topped, milestone, time, A, State, Street, spokeswoman, told, CNBC, firm, retain, custody, BlackRock, asset, We, remain, significant, service, provider, BlackRock, transition, fully, completed, said, JPMorgan, BlackRock, confirmed, news, Wednesday, Shares, JPMorgan, percent, broader, market, rallied, Dow, Jones, industrial, average, topped, milestone, ...]",1.0
SNCR,"Synchronoss Technologies, Inc.",,,,,
SUPN,"Supernus Pharmaceuticals, Inc.",,,,,
HMST,"HomeStreet, Inc.",,,,,
DAL,"Delta Air Lines, Inc.",19:Cramer Remix: Why 4 downgrades can't hold back this energy stock,"Thursday, 12 Jan 2017 |  6:58  PM ET","  Cramer's interest is always piqued when a stock gets hit with a series of downgrades and then refuses to go lower.     The price of oil dropped sharply in early November, and analysts became worried about the oil patch, especially the drillers. That is how oil and gas drilling contractor Helmerich &amp; Payne was downgraded four times in one month.    The problem is that by the time the stock was downgraded in the first half of December, oil had already rebounded and the demand for drilling was clearly picking up.    ""They failed to adjust to the new reality, which is why this stock barely seemed to notice [its] downgrades,"" the ""Mad Money"" host said.   That's also why Cramer considers this stock worth owning at current levels, especially with the 4 percent yield that pays investors to wait for the rebound in drilling.    Like it or not, President-elect Donald Trump is succeeding in his mission to protect and create American jobs.    ""What matters is when it comes to strong-arming executives into keeping jobs in this country, Trump's got the supermarket going for him,"" Cramer said.    This term refers to a lesson Cramer learned from the ""Mad Money"" wall of shame. When Cramer speaks with executives who have been on the wall of shame for destroying value at companies, he often hears within the plea from the executive that they want to be taken down because they don't want their spouse stared at in the supermarket.    Granted, Cramer's bully pulpit is a fraction of the size of Trump's methods in tweets and press conferences. But if CEOs get uncomfortable about being on the ""Mad Money"" wall of shame, imagine the embarrassment factor when the President of the United States singles them out on Twitter.    Amazon's announcement to create 100,000 jobs in the U.S. by 2018 on Thursday also marked a shift in the business paradigm for Cramer. The significance of this is that Amazon chose to take a path that didn't exist just a few months ago. Many other stocks have taken the same action since the election after being bogged down by gridlock in Washington that stifled growth.    Industrials have rallied on the belief that demand will grow with a government in Washington that is no longer in the way and with the notion that Donald Trump will work with businesses that create jobs in the U.S. Delta also confirmed its business grew in December, echoing the sentiment of United Airlines. Homebuilder KB Home also said things have gotten better since the election.    The market will now be drawn to these kinds of stocks, Cramer said, not just the companies that were oldies-but-goodies because of their consistent slow growth and decent dividend.    ""It is a seismic shift in stock picking, and Amazon is the most extreme example,"" Cramer said.    Advance Auto Parts' stock has picked up a juicy gain since activist hedge fund Starboard Value took a stake in the company and Cramer is wondering about its exit strategy already.    ""It's no sin; even the best have to ring the register sometime. Specifically, I think Advance Auto Parts could be an ideal takeover candidate,"" he said.    More importantly, Cramer is convinced that this could be a motivated seller situation as Starboard's position in AAP is likely only to be up slightly. Given that the position represents 11.5 percent of the fund's portfolio, he thinks Starboard would agree to arrange a sale and pick up a gain.    While AutoZone and O'Reilly seem like natural acquirers, Cramer thinks O'Reilly is the more likely option because it is larger and has a cleaner balance sheet.    ""This could be one of the most straightforward takeover stories out there,"" Cramer said.    In the Lightning Round, Cramer gave his take on a few caller stocks:    Visteon: ""I know Visteon has run a lot. The problem is that there has been upgrade, upgrade, upgrade, upgrade. You've got to let it come down a little and then you can pull the trigger. Not yet.""    American Tower: ""It has fallen out of favor because there is a lot of talk that there is going to be mergers in the business. I would say that American Tower is the best of the business. James Taiclet [CEO] is worth owning. I think the stock if you get it under $100 is terrific. I know the chart looks very bad.""","[gridlock, Washington, stifled, growth, Industrials, rallied, belief, demand, government, Washington, longer, notion, Donald, Trump, work, business, create, job, U, S, Delta, confirmed, business, grew, December, echoing, sentiment, United, Airlines, Homebuilder, KB, Home, said, thing, gotten, better, election, The, market, drawn, Advance, Auto, Parts, picked, juicy, gain, activist, fund, Starboard, Value, took, stake, company, Cramer, wondering, exit, strategy, It, sin, Specifically, I, think, Advance, Auto, Parts, ideal, takeover, candidate, said, More, importantly, Cramer, convinced, motivated, seller, situation, Starboard, position, AAP, likely, Reilly, like, natural, acquirer, Cramer, think, O, Reilly, likely, option, larger, cleaner, balance, sheet, This, straightforward, takeover, story, Cramer, said, ...]",1.0
CRVS,"Corvus Pharmaceuticals, Inc.",,,,,
WES,"Western Gas Partners, LP",,,,,
KW,Kennedy-Wilson Holdings Inc.,,,,,
KBH,KB Home,2:Cramer says Amazon just marked a seismic shift in stock picking,"Thursday, 12 Jan 2017 |  6:18  PM ET","  Amazon's announcement to create 100,000 jobs in the U.S. by 2018 on Thursday marked a shift in the business paradigm for Jim Cramer.    ""This action reminds me of the old days when we had companies that had so much business and so much room for expansion that all you wanted was for them to keep investing in order to grow,"" the ""Mad Money"" host said.   In response, the market rewarded Amazon's stock by blowing through the $800 mark.    The significance of this to Cramer is that Amazon chose to take a path that didn't exist just a few months ago. Many other stocks have taken the same action since the election after being bogged down by gridlock in Washington that stifled growth.   Industrials have rallied on the belief that demand will grow with a government in Washington that is no longer in the way and with the notion that Donald Trump will work with businesses that create jobs in the U.S. Delta also confirmed its business grew in December, echoing the sentiment of United Airlines. Homebuilder KB Home also said things have gotten better since the election.    The market will now be drawn to these kinds of stocks, Cramer said. Not just the companies that were oldies-but-goodies because of their consistent slow growth and decent dividend.    ""It is a seismic shift in stock picking, and Amazon is the most extreme example,"" Cramer said.    These days investors seem to care about who visits Trump than they care about the Federal Reserve. Trump has targeted some sectors, with pharma being the latest, but to Cramer, Trump is much more pro-business than President Barack Obama.    ""Say what you want about Trump's style or grace, if you think having business people surround the president will help us produce more jobs, as I do, than we are going to see a lot more growth,"" Cramer said.    That means more stories like Amazon will bubble up, and fewer tales about companies firing employees to make the numbers.    This marks a new paradigm. Investors are now buying companies where demand has picked up and not those using artificial ways to boost their stock price.    Those are the stocks Cramer says to buy right now. Anything else and he says you may have a loser on your hands.    Questions for Cramer?  Call Cramer: 1-800-743-CNBC    Want to take a deep dive into Cramer's world? Hit him up!  Mad Money Twitter -  Jim Cramer Twitter - Facebook - Instagram - Vine    Questions, comments, suggestions for the ""Mad Money"" website? madcap@cnbc.com ","[longer, notion, Donald, Trump, work, business, create, job, U, S, Delta, confirmed, business, grew, December, echoing, sentiment, United, Airlines, Homebuilder, KB, Home, said, thing, gotten, better, election, The, market, drawn, kind, Cramer, said, Not, company, oldie, goody, consistent, slow, growth, notion, Donald, Trump, work, business, create, job, U, S, Delta, confirmed, business, grew, December, echoing, sentiment, United, Airlines, Homebuilder, KB, Home, said, thing, gotten, better, election, The, market, drawn, kind, Cramer, said, Not, company, oldie, goody, consistent, slow, growth, decent]",1.0
XIV,VelocityShares Daily Inverse VIX Short Term ETN,1:The hottest Trump trade of them all just set a new record,"Thursday, 16 Feb 2017 | 12:39  PM ET","In Washington, volatility is running at highs not seen in years. On Wall Street, volatility is running at lows not seen — ever. The stock market is on a 48-day run of not having moving up or down more than 1 percent in any single session, something that rarely happens and is all the more remarkable considering the political commotion since President Donald Trump took office nearly four weeks ago. The level of realized volatility is the lowest in records going back to 1962. In terms of intraday price movements, the S&amp;P 500 has never started a year with a tighter range than it has seen since 2017 began, according to analysts at Sandler O'Neill. Stocks have been on a gradual but steady move higher, with the index gaining just shy of 10 percent since the controversial Republican took over. Such market complacency normally would be a matter of concern. A market that shows little or no reaction to outside noise gets increasingly susceptible to a downturn should something meaningfully jolting come along. But in this case, the mellow mood on Wall Street appears to be a reflection that the market and the economy have hit a sweet spot that has divorced itself from the political chaos, and the lack of volatility is justified. Rather than serve as a contrarian signal that a reckoning is on the horizon, the low volatility readings are ""a false warning,"" said Art Hogan, chief market strategist at Wunderlich Securities. ""The market seems to want to focus on what could be the positives,"" he said. ""If we get a pro-growth agenda and move forward, the market is (focusing on) that a whole lot more than the market's worried about a constitutional crisis in the Mike Flynn fiasco."" Flynn was Trump's national security advisor who resigned Monday following disclosures that he had conferred with Russian operatives, despite denying that he did so. While a blow like that to the new president might have knocked the market for a loop, the S&amp;P 500 is up more than 1.4 percent this week. Investors don't anticipate much trouble ahead, either. The CBOE Volatility Index, a gauge of options traders' expectation for the S&amp;P's fluctuations over the next 30 days, is well below its historical average. Indeed, betting against volatility has been the best Trump trade of them all. The VelocityShares Daily Inverse VIX Short-Term exchange-traded note bets against the index over one- and two-month periods. The wager has delivered a 78.6 percent gain over the past three months and is up more than 318 percent during the past 12 months. The VIX has tumbled 12 percent in 2017, close to a record, and is down nearly 50 percent over the past 12 months, according to Sandler O'Neill. The firm's measure of actual volatility against the VIX's measure of implied volatility is at a record low as well. The VIX's long-term average is just under 20, but it has averaged around 15.6 for the past five years and just above 12 since Trump won the presidency in November, according to Convergex data. Traditionally, the index rises when the market falls. However, that's not always the case. Wednesday's gain saw a massive VIX spike even as the market staked out yet another new high. Nick Colas, chief market strategist at brokerage Convergex, believes a ""volatility reset"" may be the case in the days ahead as relatively constant numbers tied to economic growth begin moving in surprising ways. ""Since both equity and fixed income markets are now discounting faster economic and corporate earnings growth, the predictability of the last five years should give way to more uncertainty about those key drivers of stock prices,"" Colas said in his morning note Thursday. ""And with that, the VIX should rise from its current torpor."" Rising corporate earnings following a profits recession and expectations for higher interest rates will be two key drivers in market volatility, even if they're not rally-killers.  ""The upshot of all this is simple: the VIX can (and should) rise in the current macro environment, even if equities continue to rise,"" Colas said. ""Earnings will become less predictable, albeit in a 'good way' because we will be unsure if they can grow at 8 percent or 12 percent. Or maybe 15 percent ... And interest rates should similarly pull away from their historical roots."" So while the market may keep drifting up, expecting the same level of market complacency could be a mistake. ""On one hand, you've got to respect the momentum in the market,"" said Todd Salamone, senior vice president at Schaeffer's Investment Research. ""There's something that lurks that makes me think that this could be something contrarian. If all of a sudden the VIX pops ... I cannot say I'd be overly surprised.""","[In, Washington, volatility, running, high, seen, year, On, Wall, Street, volatility, running, low, seen, The, market, run, moving, percent, single, rarely, happens, remarkable, considering, political, commotion, President, Donald, Trump, took, office, nearly, ago, The, level, realized, volatility, lowest, record, going, In, term, intraday, movement, S, amp, P, started, tighter, seen, began, according, analyst, Sandler, O, Neill, Stocks, gradual, steady, move, political, commotion, President, Donald, Trump, took, office, nearly, ago, The, level, realized, volatility, lowest, record, going, In, term, intraday, movement, S, amp, P, started, tighter, seen, began, according, analyst, Sandler, O, Neill, Stocks, gradual, steady, move, higher, index, gaining, shy, ...]",1.0
KSU,Kansas City Southern,,,,,
